area_code,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
E09000002,31.8,31,31.3,27.7,29.3,28.9,27.6,28.6,27.7,25.3,28.1,26,27.5,24.7,27.4,25.7
E09000003,24.7,25.6,26.5,27.4,27.2,28,24.9,24.7,25.9,23.3,26.1,24.7,27.5,23.1,24.2,21.7
E09000004,21,20.5,20.5,22.7,22.4,24.3,22.9,23.2,21.2,20.2,20.2,18.7,18.5,21.3,21.1,20.8
E09000005,30.1,28.4,29.2,24.6,24,24.4,30.2,30.8,25.2,24.7,26.5,24.9,24.8,25.8,24.7,23
E09000006,19.4,17.2,20.5,17,19.2,20.2,23,21.9,21.1,19.7,20.6,20.1,19.1,18.2,18.3,19.1
E09000007,27,30.4,28.2,28.3,28.2,28.6,26.3,32.9,29.3,31.4,28.1,27.9,26.8,28.9,24.4,25.8
E09000008,22.1,20.7,22.6,21.9,21.6,20.4,22.2,24.6,19.6,19.5,20.7,21.3,18.3,19.6,20.9,21
E09000009,25.8,27.1,24.6,27.3,26.6,26.3,25.1,24.1,24,25.6,25.7,22.6,21.3,20.5,21.4,23.6
E09000010,27.1,25.9,25.7,30.5,27.1,32.1,30.8,26.2,28.2,27.2,25.7,24.4,25.3,26.5,26.7,28.7
E09000011,26.6,25.6,26.8,25.2,29.1,29.2,26.1,23.9,22.3,27.6,24.9,21.3,21.1,21.8,24.2,19.3
E09000012,36.8,40.6,33.2,29.3,27.8,24.5,24.1,27.2,30,29.8,25.6,26.7,25.2,25.2,25.7,24.2
E09000013,25.3,24.4,24.3,23.6,23.6,26.3,28.5,27.9,24,24.7,19.5,19,21.4,20.9,18.9,21.4
E09000014,35.2,28.5,26.6,29.3,32.5,32.2,31.8,26.3,27.6,25.2,25.6,24.2,23.3,26.4,22.6,20.9
E09000015,23.5,24.5,21.7,23,26.5,21.1,22,21.4,22.1,24.7,23.4,22.5,23.2,18.3,19.7,27.5
E09000016,22.1,22.4,22.8,20.8,18.9,22.3,26.6,19.8,23.8,22.9,18.7,19.4,17.4,20.4,17,20.7
E09000017,21.9,24.3,22.6,30.9,23.2,21.7,25.3,23.8,22.6,22.8,22.9,22.2,21.1,21.5,21.6,24
E09000018,24,22.4,20.7,26.9,24.9,22.5,22.4,22,22,19.7,20.5,22.4,22.4,18.6,18.2,25.6
E09000019,30.7,32.8,28.1,26,27.1,26.7,28.6,24.4,27.5,24.6,25.9,23.6,24.8,20.3,19.7,19.5
E09000020,32.3,29.4,33.5,30.3,29.8,32.1,33.1,32.9,31,29.5,25.8,28.9,27.1,26.1,35.2,30.1
E09000021,23,22.9,22.2,25.4,23.4,21.6,22.4,25.9,24.2,21.2,20.9,22.3,23,21.5,22.4,19.3
E09000022,24.3,27.2,30.2,24.4,23.9,18.7,20,18.2,20.9,15.3,14.7,16.4,14.3,15,17.8,16.7
E09000023,23.3,23.4,23.7,24.9,22.7,22,27.8,26,25,20.1,21,19.5,20,13.4,17.4,16.1
E09000024,18.6,23.9,21,18.6,17.3,21.2,22,22.1,21.2,19.9,19.7,17.5,19.8,18.4,14.8,15.8
E09000025,39.3,38.4,34.8,36,33.9,34.7,36.4,35.5,29.6,29.5,32.7,27.3,24.5,26.6,27.1,25.2
E09000026,22.5,30.9,27.2,29.6,28.9,27.4,29.6,29.7,28.4,24.8,25.4,25.5,22.7,24.2,27.1,26.8
E09000027,25.1,21.4,21.3,19.3,21.3,21.6,19.2,22.5,20.3,19.8,17.7,17.3,15.9,23.1,19.3,17.9
E09000028,26.2,31.1,28.9,29,27,25.4,22.7,28,23.7,26.9,20.8,19.4,18.4,15.5,17.4,18.6
E09000029,21.6,17.6,18.1,19.6,20.7,18.8,18.6,20.2,19.7,16.8,18,17.4,17.1,16.1,16.2,16.5
E09000030,38.4,34.6,38,37.1,30.4,30,30.6,30.6,30.2,26.8,23.7,22.6,22.3,31.3,22.7,25.8
E09000031,31.7,27.6,27.9,28.4,30.2,28.3,26.6,23.8,25.3,23.4,24.9,22.7,20.9,18.7,19.5,20.2
E09000032,20.4,22.5,22.6,21.1,18.9,17.5,21,18.7,20.2,17.9,17.3,16.8,17,18.5,16.3,16.1
E09000033,31.2,30.6,32.2,33,31.5,27.4,31.7,32,29.6,28.9,29.3,27.8,27.6,29.7,28,24.9
