,% who are economically inactive - aged 16-64,Jan 2004-Dec 2004,,,,Jan 2005-Dec 2005,,,,Jan 2006-Dec 2006,,,,Jan 2007-Dec 2007,,,,Jan 2008-Dec 2008,,,,Jan 2009-Dec 2009,,,,Jan 2010-Dec 2010,,,,Jan 2011-Dec 2011,,,,Jan 2012-Dec 2012,,,,Jan 2013-Dec 2013,,,,Jan 2014-Dec 2014,,,,Jan 2015-Dec 2015,,,,Jan 2016-Dec 2016,,,,Jan 2017-Dec 2017,,,,Jan 2018-Dec 2018,,,,Jan 2019-Dec 2019,,,
Code,Area,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,!,!,!,!,#,"3,600",35.6,*,!,!,!,!,!,"1,400",!,!,!,"1,200",!,!,!,!,!,-,!,#,!,!,!,!,!,!,!,!,!,!,!,#,!,!,!,#,!,!,"2,000","3,600",55.5,*,!,"2,700",!,!,"2,600","5,900",44.2,*,!,"3,200",!,!,!,!,!,!
E09000002,Barking and Dagenham,"21,700","54,800",39.6,5.5,"21,900","54,100",40.5,5.5,"21,100","53,800",39.2,5.4,"20,600","54,200",38.0,5.4,"21,400","55,900",38.4,5.1,"21,300","56,600",37.6,5.5,"23,500","59,100",39.7,5.1,"23,100","61,300",37.7,5.4,"23,600","62,000",38.0,5.3,"20,600","62,100",33.1,5.2,"22,600","64,000",35.3,5.6,"23,000","65,200",35.3,5.5,"23,200","67,200",34.5,5.3,"21,700","65,600",33.1,5.5,"25,400","69,100",36.8,6.0,23200,69400,33.4,6.3
E09000003,Barnet,"35,200","106,800",32.9,5.3,"35,600","110,200",32.3,5.9,"38,100","112,800",33.7,5.5,"37,800","113,400",33.3,5.1,"39,600","114,800",34.4,5.0,"43,700","117,500",37.2,5.9,"36,100","119,200",30.3,5.4,"41,100","120,000",34.3,5.6,"38,100","122,400",31.1,5.6,"36,800","122,800",30.0,5.7,"41,800","123,100",34.0,5.4,"40,200","124,600",32.3,5.5,"45,000","127,700",35.2,6.0,"34,500","125,500",27.5,5.5,"36,400","127,700",28.5,5.5,33600,130000,25.8,5.9
E09000004,Bexley,"18,500","71,200",26.0,5.4,"19,400","72,200",26.9,5.3,"18,800","71,600",26.2,5.1,"20,600","72,800",28.2,5.2,"20,500","73,800",27.8,5.4,"23,100","75,500",30.6,5.5,"21,400","75,300",28.5,5.0,"20,700","74,600",27.7,5.4,"20,600","75,700",27.2,5.5,"19,500","74,400",26.3,5.6,"20,500","77,100",26.6,5.7,"19,900","78,600",25.4,5.5,"20,400","81,800",25.0,5.4,"21,100","81,200",26.0,5.1,"21,100","80,900",26.1,5.4,19200,80300,23.9,5.2
E09000005,Brent,"34,400","88,700",38.7,5.1,"36,600","91,800",39.9,5.9,"36,800","91,800",40.1,6.0,"32,300","95,700",33.7,5.8,"32,200","98,400",32.7,5.4,"33,200","102,200",32.5,5.9,"41,000","106,300",38.6,6.1,"41,100","109,500",37.5,6.0,"33,100","105,100",31.5,4.9,"36,000","105,400",34.2,4.5,"35,600","103,800",34.3,4.6,"35,300","106,200",33.2,4.7,"36,900","105,000",35.2,5.2,"36,800","104,600",35.2,5.1,"37,100","106,000",35.0,5.8,34600,106400,32.5,7
E09000006,Bromley,"24,600","96,100",25.6,4.9,"21,200","96,900",21.9,4.8,"29,000","98,200",29.5,5.2,"24,000","98,900",24.3,4.8,"25,200","100,200",25.2,5.0,"29,300","99,600",29.4,6.0,"29,400","100,800",29.2,5.8,"27,600","103,900",26.6,5.2,"27,600","102,900",26.8,4.9,"26,000","106,000",24.5,4.6,"27,000","105,800",25.6,4.8,"27,900","104,400",26.7,4.9,"27,300","104,000",26.3,5.3,"27,000","104,600",25.8,5.4,"26,300","106,000",24.8,5.4,28100,108900,25.8,5.4
E09000007,Camden,"26,200","74,500",35.2,5.5,"29,000","76,800",37.8,6.0,"28,200","76,400",37.0,5.3,"26,900","77,500",34.8,4.5,"28,200","77,100",36.5,4.7,"26,600","77,800",34.2,5.0,"25,800","77,900",33.2,5.7,"33,000","78,700",41.9,6.0,"31,900","79,300",40.3,5.6,"31,700","81,500",38.9,5.7,"29,900","83,400",35.9,5.3,"26,300","85,600",30.8,5.8,"26,200","83,700",31.3,5.7,"30,100","85,700",35.2,5.9,"27,900","88,800",31.5,6.1,26600,88900,29.9,6.2
E09000008,Croydon,"34,100","112,100",30.4,5.0,"28,800","112,400",25.6,4.7,"34,000","115,700",29.4,4.8,"33,300","118,400",28.2,5.0,"32,400","119,300",27.1,5.6,"29,800","122,400",24.3,5.2,"37,900","123,500",30.7,5.6,"38,200","123,400",31.0,5.4,"29,500","122,300",24.1,5.0,"28,500","123,700",23.1,4.9,"36,700","125,200",29.3,5.6,"35,800","127,800",28.0,5.1,"32,600","125,800",25.9,4.9,"30,600","126,100",24.3,4.9,"31,000","130,300",23.8,5.2,33100,130200,25.4,5.1
