area_code,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
E09000002,39.6,40.5,39.2,38,38.4,37.6,39.7,37.7,38,33.1,35.3,35.3,34.5,33.1,36.8,33.4
E09000003,32.9,32.3,33.7,33.3,34.4,37.2,30.3,34.3,31.1,30,34,32.3,35.2,27.5,28.5,25.8
E09000004,26,26.9,26.2,28.2,27.8,30.6,28.5,27.7,27.2,26.3,26.6,25.4,25,26,26.1,23.9
E09000005,38.7,39.9,40.1,33.7,32.7,32.5,38.6,37.5,31.5,34.2,34.3,33.2,35.2,35.2,35,32.5
E09000006,25.6,21.9,29.5,24.3,25.2,29.4,29.2,26.6,26.8,24.5,25.6,26.7,26.3,25.8,24.8,25.8
E09000007,35.2,37.8,37,34.8,36.5,34.2,33.2,41.9,40.3,38.9,35.9,30.8,31.3,35.2,31.5,29.9
E09000008,30.4,25.6,29.4,28.2,27.1,24.3,30.7,31,24.1,23.1,29.3,28,25.9,24.3,23.8,25.4
E09000009,35.1,36.5,32.6,36.8,35.7,36,32.2,32.1,33,36.3,36.3,32.2,27,26.4,28.1,35.5
E09000010,34.8,36.4,35,40.9,38.4,41.6,40.1,34,36.8,35.8,32.4,31.5,31.4,31.3,34.8,33.4
E09000011,33.9,35.2,32.4,35.1,38.9,41.6,34.9,32.7,28.9,34.5,32.8,26.4,27.8,29.6,29.5,24.1
E09000012,49,49,43,36.4,32.8,30.1,29.6,30.3,36,38.1,29.8,30.9,28,32.8,33.8,28.1
E09000013,34.5,28.8,29.1,30.6,29.8,30.7,36.7,35.1,34,31.2,27.4,22.9,28.7,25.4,23.9,30.5
E09000014,41.3,36.3,34.1,36,42.7,38.7,38.8,29.5,38.3,30.7,33.6,31.6,28.4,32.3,28.8,23.9
E09000015,31.9,31.2,28.3,30.1,36.6,26.7,29.3,32.4,27.8,34.8,35.7,32.1,32.5,25.6,27,36.7
E09000016,28.7,29.7,29.2,28.1,26.6,30.1,33.9,22.9,32.1,30.5,27.9,24.2,23.6,23.7,22,23.7
E09000017,30.1,32.9,29.1,40.5,33.2,25.3,31.2,31.8,30.1,31.4,31.4,31,28.6,28.3,28.1,32.6
E09000018,31.3,28.8,29.7,35.3,36.9,26.8,29.4,27.5,30.3,28.8,30.9,33.2,33.7,27.4,29.3,36.8
E09000019,39.9,36.9,36.1,30.3,31.4,34.2,33.6,30.1,28.4,30,32,29.7,28.4,27.7,21.4,23.4
E09000020,43.9,41.1,46.3,39.1,36.2,40.6,42.9,46.3,43.1,40.2,33.2,36.9,33.9,31.2,39.4,33.4
E09000021,29.7,25.2,28,33.7,29.9,26.3,27.2,30.3,28.3,22.6,27.4,28.8,29.1,26.7,31.8,24.6
E09000022,33.4,32.5,42.4,31.4,27.9,23.2,26.7,23.2,29.6,18.2,20.1,21.7,13.2,16.6,20.6,20.2
E09000023,30.4,32.1,29.5,29.6,28.3,27.9,36.5,32.3,31.7,27.1,25.9,23,26.6,16.9,26.4,19.4
E09000024,27.7,31.2,27.6,26,26.8,29.4,31.2,29.8,29.2,28.1,26.5,24.1,27.9,20.9,19.8,21.4
E09000025,52.8,50.5,48.3,48.7,48.5,44.2,50.1,48.7,44.5,41.1,43.8,37.4,36.2,40.4,38.3,31.9
E09000026,30.4,40.4,36.8,40.2,38.7,36.4,40.5,42.2,36,33.3,33.8,34.8,34.1,34.5,38.3,40
E09000027,32.4,25.4,27.3,28.3,29.6,29.4,27.2,23.8,24.6,27.3,24.8,18.7,16.4,28.3,24,22.5
E09000028,30.4,42,40.1,37.4,36.5,34.6,28.5,34.6,31.3,34.8,25.8,24.5,21.1,20.7,20.9,20.8
E09000029,26.7,23.7,24.7,26,26,25.9,26.7,29.5,27.6,22.3,25.4,22.9,23,20.8,21.9,19.9
E09000030,50.2,52,50.1,50.2,43.5,43.1,45.5,43.4,43.7,37.9,34.6,33.6,31.2,43.4,33.5,41.1
E09000031,39.5,37.8,32.3,36.7,41.6,37.4,34,33.1,36.2,32.8,32.6,29,30.6,25.8,24,26.1
E09000032,28.6,27.3,29.5,25.4,23.9,23.8,27.7,25,26.9,24.3,22,23.7,23.9,20.6,20.6,18.2
E09000033,41.7,38.3,37.7,42.9,40.1,37.3,39.7,41.1,37.2,37.9,38.6,33.1,37.9,38.7,35.4,31.8
