,% who are economically inactive - aged 16-64,Jan 2004-Dec 2004,,,,Jan 2005-Dec 2005,,,,Jan 2006-Dec 2006,,,,Jan 2007-Dec 2007,,,,Jan 2008-Dec 2008,,,,Jan 2009-Dec 2009,,,,Jan 2010-Dec 2010,,,,Jan 2011-Dec 2011,,,,Jan 2012-Dec 2012,,,,Jan 2013-Dec 2013,,,,Jan 2014-Dec 2014,,,,Jan 2015-Dec 2015,,,,Jan 2016-Dec 2016,,,,Jan 2017-Dec 2017,,,,Jan 2018-Dec 2018,,,,Jan 2019-Dec 2019,,,
Code,Area,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,!,"3,800",!,!,!,"5,200",!,!,!,"3,000",!,!,!,"2,000",!,!,!,"5,400",!,!,!,"5,100",!,!,!,#,!,!,!,"1,500",!,!,!,"1,500",!,!,!,!,!,-,!,!,!,!,!,!,!,!,!,"3,500",!,!,!,"5,300",!,!,!,"4,400",!,!,!,"5,800",!,!
E09000002,Barking and Dagenham,"11,900","50,800",23.4,5.4,"10,700","50,900",21.0,5.0,"11,700","51,200",22.9,5.0,"8,700","51,700",16.9,4.7,"10,300","52,500",19.7,4.7,"10,600","54,000",19.7,5.0,"8,300","56,100",14.8,4.1,"10,900","57,800",18.9,4.6,"9,800","58,400",16.8,4.4,"10,200","59,500",17.1,4.7,"12,500","60,900",20.4,5.1,"10,400","63,100",16.4,4.5,"12,800","63,900",20.0,4.9,"10,500","65,100",16.2,4.7,"11,800","66,600",17.7,5.1,"12,100","67,800",17.9,5.6
E09000003,Barnet,"16,700","103,000",16.2,4.5,"19,300","104,500",18.5,5.1,"19,700","105,400",18.7,4.8,"22,400","106,400",21.1,4.8,"21,000","108,200",19.4,4.4,"20,100","110,200",18.3,5.0,"21,400","111,900",19.1,4.6,"16,800","114,200",14.7,4.5,"23,500","115,800",20.3,5.2,"19,200","117,200",16.4,4.8,"21,400","119,300",17.9,4.7,"20,100","119,400",16.9,4.8,"24,000","123,000",19.5,5.0,"23,000","124,200",18.5,4.8,"25,300","126,900",19.9,5.3,"22,600","129,200",17.5,5.5
E09000004,Bexley,"10,700","68,000",15.8,4.6,"9,400","68,400",13.8,4.4,"10,000","68,900",14.5,4.2,"11,800","69,400",17.0,4.4,"11,600","70,000",16.6,4.7,"12,400","70,400",17.7,5.0,"12,100","71,200",17.1,4.5,"13,200","71,600",18.5,4.9,"10,600","71,300",14.8,4.8,"10,000","71,900",13.8,4.8,"9,700","73,000",13.3,4.5,"8,600","73,700",11.6,4.2,"8,500","74,700",11.4,4.2,"12,300","75,100",16.4,4.6,"12,000","76,000",15.8,4.7,"13,500","76,600",17.6,5.0
E09000005,Brent,"20,200","92,300",21.9,4.8,"15,800","92,800",17.0,4.5,"17,700","94,800",18.6,5.3,"15,400","97,600",15.7,4.8,"15,600","100,800",15.5,4.1,"16,900","103,400",16.4,5.0,"23,100","106,200",21.8,5.6,"26,300","109,400",24.1,6.0,"21,000","109,700",19.1,4.6,"17,300","110,300",15.7,3.9,"21,400","110,900",19.3,4.1,"19,300","113,200",17.0,4.0,"17,200","113,200",15.2,4.0,"19,400","113,500",17.1,4.4,"17,300","113,800",15.2,4.6,"16,200","114,400",14.2,6.0
E09000006,Bromley,"11,700","91,600",12.8,4.0,"11,300","92,000",12.3,3.9,"10,300","93,200",11.1,3.9,"8,700","93,400",9.3,3.5,"12,100","94,100",12.8,4.2,"10,000","94,400",10.6,4.5,"15,600","94,700",16.5,5.3,"15,900","95,100",16.7,4.7,"14,200","95,300",14.9,4.3,"14,000","96,500",14.5,4.0,"14,800","97,000",15.3,4.0,"12,800","98,000",13.1,4.0,"11,300","98,200",11.5,4.0,"10,000","98,600",10.2,4.0,"11,400","99,900",11.4,4.3,"12,000","100,800",11.9,4.1
E09000007,Camden,"13,800","73,800",18.7,4.8,"17,000","74,600",22.7,5.3,"14,300","74,600",19.2,4.5,"16,200","74,800",21.6,4.4,"14,500","74,300",19.5,4.1,"17,200","75,400",22.7,4.9,"14,600","75,900",19.3,4.8,"18,800","78,500",24.0,5.4,"14,700","79,600",18.4,4.7,"19,700","82,000",24.0,5.0,"17,100","83,900",20.4,4.6,"22,000","87,800",25.1,5.3,"20,200","89,300",22.6,5.2,"20,800","90,400",23.0,5.5,"16,600","93,700",17.7,5.2,"21,200","96,600",22.0,6.0
E09000008,Croydon,"14,600","108,100",13.5,3.9,"16,900","108,700",15.5,4.0,"16,800","109,500",15.3,4.1,"16,900","110,600",15.2,4.4,"17,600","112,200",15.7,4.8,"18,300","113,200",16.2,4.8,"15,100","114,600",13.2,4.5,"20,700","116,400",17.7,4.8,"17,500","116,900",14.9,4.7,"18,600","117,700",15.8,4.4,"13,900","118,600",11.7,4.1,"16,900","119,100",14.2,4.3,"12,300","119,600",10.3,3.8,"17,500","119,700",14.6,4.2,"21,400","120,800",17.7,4.9,"19,700","121,400",16.2,4.8
